Title,Price,Link
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","12,255",https://www.amazon.in/Redmi-Orchid-Largest-Display-Segment/dp/B0D78W2HF5/ref=sr_1_16?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705676&sr=8-16
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","16,406",https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_17?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705671&sr=8-17
"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Charcoal","1,149",https://www.amazon.in/Nokia-Payments-Long-Lasting-Wireless-Charcoal/dp/B0C5RK3X6F/ref=sr_1_10?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705671&sr=8-10
Apple iPhone 13 (128GB) - Midnight,"44,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Njk4NzkzOTE1NzM5NzkzOjE3NDE3MDU2NzE6c3BfYnRmOjIwMDc5NjgyODUxMTAzOjowOjo&url=%2FApple-iPhone-13-128GB-Midnight%2Fdp%2FB09G9HD6PD%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U%26dib_tag%3Dse%26keywords%3Dphone%26qid%3D1741705671%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","82,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODg1OTc0MjI4MzEyNTAxOjE3NDE3MDU2NzY6c3BfbXRmOjMwMDM1MTQ4MTk4MTEzMjo6MDo6&url=%2FiPhone-16-256-GB-Ultramarine%2Fdp%2FB0DGJ8N32F%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U%26dib_tag%3Dse%26keywords%3Dphone%26qid%3D1741705676%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Samsung Galaxy A05 (Light Green, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery","8,290",https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2DVN1Q/ref=sr_1_6?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705671&sr=8-6
CMF BY NOTHING Phone 1 5G (128 GB) (6 GB RAM) (Black),"14,548",https://www.amazon.in/CMF-NOTHING-Phone-128-Black/dp/B0D935PW3P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705671&sr=8-5
"iQOO Neo 10R 5G (Moonknight Titanium, 12GB RAM, 256GB Storage) | Snapdragon 8s Gen 3 Processor | India's Slimmest 6400mAh Battery Smartphone | Segment's Most Stable 90FPS for 5 Hours","30,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODg1OTc0MjI4MzEyNTAxOjE3NDE3MDU2NzY6c3BfbXRmOjMwMDUwMjU0MTQzNTYzMjo6MDo6&url=%2FiQOO-Moonknight-Snapdragon-Processor-Smartphone%2Fdp%2FB0DW47CJBW%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U%26dib_tag%3Dse%26keywords%3Dphone%26qid%3D1741705676%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"iPhone 16e 512 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","89,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Njk4NzkzOTE1NzM5NzkzOjE3NDE3MDU2NzE6c3BfYnRmOjMwMDQ4ODY0NTU0MTYzMjo6MDo6&url=%2FiPhone-16e-512-Intelligence-Supersized%2Fdp%2FB0DXQJ1M7H%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U%26dib_tag%3Dse%26keywords%3Dphone%26qid%3D1741705671%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","17,998",https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_9?dib=eyJ2IjoiMSJ9.o0usJmLd5QiOfJK0_XCr8f3CkB7i2mUViRhasbYYaywAFpqhS1nh9VA2oXat8OXKjewKceyPvBHZVMSh-s4-Kq11q4qTp7fjIfzz8Pq6U-R56FoNVk5gTMTxsmNQQZGwT702UP6L2vkP3y60HMtdC4ip0fmy_xfaJo6MX0XY2jnhBEbwNrtur7jNU3hbK9hCyUXwSZuElwuX7OaJ_AoZ7LizpCDU2D_kANvmN0as7Ig.Pkk3L60srRZ6LU9PR90AKDmaGWiOEkWWCtgXJ4h2Y2U&dib_tag=se&keywords=phone&qid=1741705671&sr=8-9
